Playlist_id,Playlist_name,total_track,category
37i9dQZF1DX3xUq432XGKB,Dip x Dill Guest List,41,edm_dance
37i9dQZF1DX3FNkD0kDpDV,Calvin Harris Guest List,42,edm_dance
37i9dQZF1DX4pbGJDhTXK3,Space Disco,44,edm_dance
37i9dQZF1DXafD1g5rer7q,EDM Samplings,50,edm_dance
37i9dQZF1DXdMbUSbTOEeW,mint India,50,edm_dance
37i9dQZF1DX7ZUug1ANKRP,Main Stage,50,edm_dance
37i9dQZF1DX8cbjeZ4UYIG,Rave Classics,50,edm_dance
37i9dQZF1DXaitacWUJMPH,2 . 24,24,hiphop
37i9dQZF1DXcZdJumtdMCZ,Rap Rising,35,hiphop
37i9dQZF1DX6GwdWRQMQpq,Feelin' Myself,50,hiphop
37i9dQZF1DWVA1Gq4XHa6U,Gold School,50,hiphop
37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout,50,hiphop
37i9dQZF1DX7Mq3mO5SSDc,Hip-Hop Anthems: Def Jam,50,hiphop
37i9dQZF1DWTggY0yqBxES,Alternative Hip Hop,50,hiphop
37i9dQZF1DWSTeI2WWFaia,Spilled Ink,50,hiphop
37i9dQZF1DX5jNEiuvPyWr,Cloud Rap,50,hiphop
37i9dQZF1DX8G6uERfhfPM,Jazz in India,42,indie_alt
37i9dQZF1DWW0OFelDHUJP,Rain On Indie,43,indie_alt
37i9dQZF1DWUI804Xnly9d,Chai & Acoustic,49,indie_alt
37i9dQZF1DX319l60u7Jxg,Dinner & Chill,50,indie_alt
37i9dQZF1DXdTb8AG95jne,K-Indie Picks,50,indie_alt
37i9dQZF1DXbMYUPb05hjJ,Garage Rock Revival,50,indie_alt
37i9dQZF1DXaVgr4Tx5kRF,"Britpop, Etc.",50,indie_alt
37i9dQZF1DWSrj7tqQ9IOu,French Indie Pop,50,indie_alt
37i9dQZF1DX8G6uERfhfPM,Jazz in India,42,jazz
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,49,jazz
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,50,jazz
37i9dQZF1DX7YCknf2jT6s,State of Jazz,50,jazz
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,jazz
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,50,jazz
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,50,jazz
37i9dQZF1DX6G7arXBXa3A,Big Band,50,jazz
37i9dQZF1DXbSWYCNwaARB,Girl Krush,40,kpop
37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak,50,kpop
37i9dQZF1DWUXxc8Mc6MmJ,Best of Korean Soundtracks,50,kpop
37i9dQZF1DX1LU4UHKqdtg,K-Pop Fresh,50,kpop
37i9dQZF1DX4IDaXtVjL83,K-Pop X-Overs,50,kpop
37i9dQZF1DX1gjl24GAQC0,Hallyu Boy Bands,50,kpop
37i9dQZF1DXbbMUWc2KuOB,Korean OST Instrumentals,50,kpop
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,50,kpop
37i9dQZF1DXdTb8AG95jne,K-Indie Picks,50,kpop
37i9dQZF1DX3Ucx6LaTP5S,This Is DAY6,50,kpop
37i9dQZF1DX5g856aiKiDS,Dalkom Cafe,50,kpop
37i9dQZF1DX3sCx6B9EAOr,K-Pop Commute,50,kpop
37i9dQZF1DX5LEXW9eXA0n,K-Pop Ballad Hits,50,kpop
37i9dQZF1DX6P51sFpSo2r,Metalcore Classics,40,metal
37i9dQZF1DX4Woqxy7tpda,Metal Talks | Katatonia,40,metal
37i9dQZF1DWW4nzWPdpBAz,Black Metal Classics,47,metal
37i9dQZF1DXaitacWUJMPH,2 . 24,24,mood
37i9dQZF1DX2x1COalpsUi,Happy-O-Happy,30,mood
37i9dQZF1DWZY9CnWbvq8Q,Sing-along: Punjabi,46,mood
37i9dQZF1DX1tyCD9QhIWF,Walk Like A Badass,49,mood
37i9dQZF1DWX83CujKHHOn,Alone Again,50,mood
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,mood
37i9dQZF1DX6GwdWRQMQpq,Feelin' Myself,50,mood
37i9dQZF1DX3TPMgP3ojGS,Coffee and Piano,50,mood
37i9dQZF1DXdKTcyXUUm1i,Disco Te Bhangra,33,party
37i9dQZF1DWTPYJ30Fuy6L,Millenium Mass Hits,33,party
37i9dQZF1DX3aJmyorPcLc,Telangana Beats,35,party
37i9dQZF1DX4ENTQuKtgTV,Club Le Mubbu Le,36,party
37i9dQZF1DWVIeFpvRcEQh,Millenium Kuthu,37,party
37i9dQZF1DWSw34ykYPoaf,Dance with 00s,39,party
37i9dQZF1DWXi7h4mmmkzD,Country Nights,40,party
37i9dQZF1DX3FNkD0kDpDV,Calvin Harris Guest List,42,party
37i9dQZF1DX32ZhGstc1pA,Marathi Party Songs,45,party
37i9dQZF1DX5ZiKQxiA17z,Pakka Local,50,party
37i9dQZF1DX6GwdWRQMQpq,Feelin' Myself,50,party
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,party
37i9dQZF1DX8f6LHxMjnzD,Singled Out,30,pop
37i9dQZF1DWYc8Z858eGwP,On Our Radar: Africa,46,pop
37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,50,pop
37i9dQZF1DXbgpe4jKncXC,Starring Jimmy Shergill,24,punjabi
37i9dQZF1DXdKTcyXUUm1i,Disco Te Bhangra,33,punjabi
37i9dQZF1DWTDQekfJlOMe,Happy Baarish,33,punjabi
37i9dQZF1DZ06evO2LLaKs,This Is Harrdy Sandhu,38,punjabi
37i9dQZF1DX9aEFsdEh8Dr,Starring Amrinder Gill,39,punjabi
37i9dQZF1DXbGqek0QDqO5,Starring Diljit Dosanjh,40,punjabi
37i9dQZF1DXagML239kIgg,Pao Boliyan,42,punjabi
37i9dQZF1DZ06evO4y6bt5,This Is Amrit Maan,42,punjabi
37i9dQZF1DX7VZ4Z7i17k4,Jattitude,43,punjabi
37i9dQZF1DX1tUGA8ILsWM,Desi Theka,45,punjabi
37i9dQZF1DX2r53qiRaoS9,Masala Bhangra,50,punjabi
37i9dQZF1DX0uZvZMWqVMI,Lok Tath,50,punjabi
37i9dQZF1DWUzG8YciRYE0,Gedi Da Tashn,50,punjabi
37i9dQZF1DWWw2v1GCMOKo,Starring Gippy Grewal,50,punjabi
37i9dQZF1DZ06evO3cOi1I,This Is Guru Randhawa,50,punjabi
37i9dQZF1DZ06evO32qhuy,This Is Sharry Mann,50,punjabi
37i9dQZF1DZ06evO21bcZM,This Is Gurdas Maan,50,punjabi
37i9dQZF1DZ06evO30bXT4,This Is B Praak,50,punjabi
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,punk
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,50,punk
37i9dQZF1DX3LDIBRoaCDQ,Classic Punk,50,punk
37i9dQZF1DXd6tJtr4qeot,Punk Essentials,50,punk
37i9dQZF1DXaDzsRodF91I,Covered In Punk,50,punk
37i9dQZF1DXaGNG7NmtmZv,Classic Hardcore,50,punk
37i9dQZF1DX1zG0qRnyaQ3,Political Punks,50,punk
37i9dQZF1DX1aYJMdIFYsC,Steampunk,50,punk
37i9dQZF1DXb1IUaS6F7Z8,Celtic Punk,50,punk
37i9dQZF1DXb2cYklA89lm,Hot Rods & Horror Shows,50,punk
37i9dQZF1DWSlJG7YPUBHF,Legendary Guitar Solos,30,rock
37i9dQZF1DWXx3Txis2L4x,Rock 'n' Run 160-180 BPM,30,rock
37i9dQZF1DX47RGdveoyrv,Rock This Way,40,rock
37i9dQZF1DX8pmtpgsUtwS,Raga Rocks,46,rock
37i9dQZF1DX1tyCD9QhIWF,Walk Like A Badass,49,rock
37i9dQZF1DX82Zzp6AKx64,Power Ballads,49,rock
37i9dQZF1DX0fWtUuB7bFE,Classic Rock Now,49,rock
37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock,50,rock
37i9dQZF1DX3oM43CtKnRV,00s Rock Anthems,50,rock
37i9dQZF1DX7Z7kYpKKGTc,Rock Love Songs,50,rock
37i9dQZF1DX6W1iI3ggF1N,Pop Rock Shot,50,rock
37i9dQZF1DWSDoVybeQisg,Psychedelic Rock,50,rock
37i9dQZF1DX99DRG9N39X3,10s Rock Anthems,50,rock
37i9dQZF1DX49jUV2NfGku,Rock Solid,50,rock
37i9dQZF1DX7k3T9O9bscd,Neo-Psychedelic Rock,50,rock
37i9dQZF1DWXMJdkLQRrmg,Stripped Down,50,rock
37i9dQZF1DX2SFBzpAPi7n,Cool K:IDs Rock,50,rock
37i9dQZF1DX11ghcIxjcjE,Grunge Forever,50,rock
37i9dQZF1DWVwr24yj95lH,Post-Grunge,50,rock
37i9dQZF1DXbMYUPb05hjJ,Garage Rock Revival,50,rock
37i9dQZF1DXbR32Ldau7WM,Big in Japan,50,rock
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,50,rock
37i9dQZF1DX2J9h4w9E0Xj,Rock Rising,50,rock
37i9dQZF1DWTGda3Eyqjzr,From 00s With Love,34,romance
37i9dQZF1DX3cARxpkO9Bp,Choosi Chudangane,36,romance
37i9dQZF1DWWokU1YHhufF,Po Ve Po,40,romance
37i9dQZF1DX2Ma8k80RiMN,The Sweet Suite,40,romance
37i9dQZF1DX1UGmKmt2DtZ,00s Romance,42,romance
37i9dQZF1DX3Z99viCDp7Q,Wedding Songs,42,romance
37i9dQZF1DWTyTgrZFIX3S,Mudhal Kaadhal,44,romance
37i9dQZF1DXaUvpePTXR1D,Slow Dancing in the Living Room,45,romance
37i9dQZF1DXautpXPBsu0X,Pelli Pandhiri,45,romance
37i9dQZF1DX1BGjF5N5O7F,Sexy as Folk,47,romance
37i9dQZF1DWVEvzGeX3eRs,'90s Baby Makers,47,romance
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,50,romance
37i9dQZF1DWXqpDKK4ed9O,90s Love Songs,50,romance
37i9dQZF1DXc3KygMa1OE7,80s Love Songs,50,romance
37i9dQZF1DX7Z7kYpKKGTc,Rock Love Songs,50,romance
37i9dQZF1DWY373eEGlSj4,70s Love Songs,50,romance
37i9dQZF1DX3z6D2ln0Hqx,Women Of Motown,22,soul
37i9dQZF1DX8YFIEyRvxXj,Soul Resistance,22,soul
37i9dQZF1DX6eUekrgxJ8J,Smokey's Songbook,25,soul
37i9dQZF1DWYC7CaxNgoCg,Sound Of Motown,29,soul
37i9dQZF1DWVGLWeeMNGcG,Evolution Of Soul,31,soul
37i9dQZF1DWULEW2RfoSCi,Soul Classics 1970–1975,40,soul
37i9dQZF1DX0H8hDpv38Ju,’80s Jam Session,40,soul
37i9dQZF1DWTx0xog3gN3q,Uplifting Soul Classics,47,soul
37i9dQZF1DXea80XwOJRgD,The Midnight Hour,50,soul
37i9dQZF1DX62Nfha2yFhL,Soul Lounge,50,soul
37i9dQZF1DX44t7uCdkV1A,Viral Hits,25,toplists
37i9dQZF1DX4SBhb3fqCJd,Are & Be,46,toplists
37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,50,toplists
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,toplists
37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!,50,toplists
37i9dQZEVXbMDoHDwVN2tF,Global Top 50,50,toplists
37i9dQZEVXbLRQDuF5jeBp,United States Top 50,50,toplists
37i9dQZEVXbLiRSasKsNU9,Global Viral 50,50,toplists
37i9dQZEVXbKuaTI1Z1Afx,United States Viral 50,50,toplists
37i9dQZF1DX6P1Nsk3wSZX,Hot Country - Top Tracks of 2018,50,toplists
37i9dQZF1DX3hDb1dFuPch,Gaadi Ani Gaani,34,travel
37i9dQZF1DWXV7gMVhRdDy,Jaago Jaagore Jaago,34,travel
37i9dQZF1DXd05hd2jmMZL,Safar Mix,41,travel
37i9dQZF1DWUd3ZuqnOlqa,Bandi Beats,41,travel
37i9dQZF1DWTyunZbUcqFL,Road Trip To Kyoto,43,travel
37i9dQZF1DX3bSdu6sAEDF,Evening Commute,50,travel
37i9dQZF1DX3sCx6B9EAOr,K-Pop Commute,50,travel
37i9dQZF1DX8XxBtyUnC7B,Souvenirs,50,travel
37i9dQZF1DWUxdwkOJZYCJ,Power Run 145 BPM,23,workout
37i9dQZF1DXaitacWUJMPH,2 . 24,24,workout
37i9dQZF1DX7UqNwuRQZqy,Run the Track,30,workout
37i9dQZF1DWXx3Txis2L4x,Rock 'n' Run 160-180 BPM,30,workout
37i9dQZF1DWSTc9FdySHtz,Tropical House Run 190 BPM,33,workout
37i9dQZF1DWXV7gMVhRdDy,Jaago Jaagore Jaago,34,workout
37i9dQZF1DX2BCKQiTaN5o,Michelle Obama's Workout Playlist,35,workout
37i9dQZF1DWZq91oLsHZvy,Indie Kicks 150–155 BPM,40,workout
37i9dQZF1DXcCEH5EfTtzp,Lactic Acid Run 175 BPM,45,workout
37i9dQZF1DXcYHCSWjSx6A,K-Town Machos,47,workout
37i9dQZF1DX4osfY3zybD2,Runner's Club 160 BPM,47,workout
37i9dQZF1DXc7KgLAqOCoC,Eat Sleep Run Repeat 140 BPM,48,workout
37i9dQZF1DWV3VLITCZusq,The Climb 170-175 BPM,48,workout
37i9dQZF1DWT6anPZiHuxz,Energetic Run 160-165 BPM,48,workout
37i9dQZF1DX3PIAZMcbo2T,Pop Warmup 130 BPM,48,workout
37i9dQZF1DX3PKEfo9uS5R,Pilates Lounge,49,workout
37i9dQZF1DX2r53qiRaoS9,Masala Bhangra,50,workout
37i9dQZF1DWUVpAXiEPK8P,Power Workout,50,workout
37i9dQZF1DXadOVCgGhS7j,Fun Run 150–165 BPM,50,workout
37i9dQZF1DWWPcvnOpPG3x,Run This Town 150–165 BPM,50,workout
37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout,50,workout
37i9dQZF1DXbcCmWfoUaw2,Just Get Going! 155 BPM,50,workout
37i9dQZF1DXbLSzx0CLgOw,"Run Punk, Run! 160 BPM",50,workout
37i9dQZF1DX8jnAPF7Iiqp,Run 'N' Bass 170-175 BPM,50,workout
